case:concept:name,concept:name,time:timestamp,org:resource,lifecycle:transition,case:applicant_segment,case:channel,case:loan_amount_band,case:loan_purpose,case:region,cost:amount
case_0007,Document Collection,2025-01-06 09:00:00-05:00,Priya Nair,complete,repeat_buyer,broker,under_250k,refinance,south,98.14
case_0007,Initial Review,2025-01-08 15:24:39.434862-05:00,Priya Nair,complete,repeat_buyer,broker,under_250k,refinance,south,143.21
case_0007,Underwriting,2025-01-10 09:56:32.080440-05:00,Hiroshi Tanaka,complete,repeat_buyer,broker,under_250k,refinance,south,100.87
case_0007,Property Appraisal,2025-01-15 13:13:22.640172-05:00,Diego Morales,complete,repeat_buyer,broker,under_250k,refinance,south,122.85
case_0007,Conditional Approval,2025-01-21 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,refinance,south,0.0
case_0007,Clear to Close,2025-01-21 15:15:46.985209-05:00,Rachel Greene,complete,repeat_buyer,broker,under_250k,refinance,south,160.05
case_0007,Loan Funded,2025-01-27 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,refinance,south,0.0
case_0008,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,0.0
case_0008,Credit Check,2025-01-02 14:28:13.549123-05:00,,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,0.0
case_0008,Document Collection,2025-01-03 09:00:00-05:00,Sofia Romano,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,117.16
case_0008,Initial Review,2025-01-07 09:00:00-05:00,Sofia Romano,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,115.87
case_0008,Underwriting,2025-01-09 09:00:00-05:00,Hiroshi Tanaka,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,112.37
case_0008,Request Additional Documents,2025-01-15 16:20:10.157813-05:00,,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,0.0
case_0008,Documents Received,2025-01-21 09:00:00-05:00,,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,0.0
case_0008,Underwriting,2025-02-03 09:00:00-05:00,Daniel Osei,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,173.97
case_0008,Property Appraisal,2025-02-06 16:55:14.266197-05:00,Diego Morales,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,99.69
case_0008,Conditional Approval,2025-02-12 09:00:00-05:00,,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,0.0
case_0008,Clear to Close,2025-02-12 10:04:03.676430-05:00,Lena Kowalski,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,96.34
case_0008,Loan Funded,2025-02-18 09:00:00-05:00,,complete,first_time_buyer,branch,500k_750k,cash_out_refinance,south,0.0
case_0009,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,online,250k_500k,cash_out_refinance,northeast,0.0
case_0009,Credit Check,2025-01-03 09:00:00-05:00,,complete,first_time_buyer,online,250k_500k,cash_out_refinance,northeast,0.0
case_0009,Document Collection,2025-01-03 12:18:39.030918-05:00,Priya Nair,complete,first_time_buyer,online,250k_500k,cash_out_refinance,northeast,135.62
case_0009,Initial Review,2025-01-06 09:00:00-05:00,Sofia Romano,complete,first_time_buyer,online,250k_500k,cash_out_refinance,northeast,38.43
case_0009,Underwriting,2025-01-10 09:00:00-05:00,Lena Kowalski,complete,first_time_buyer,online,250k_500k,cash_out_refinance,northeast,184.54
case_0009,Request Additional Documents,2025-01-15 09:00:00-05:00,,complete,first_time_buyer,online,250k_500k,cash_out_refinance,northeast,0.0
case_0009,Withdrawn,2025-01-21 13:25:30.792310-05:00,,complete,first_time_buyer,online,250k_500k,cash_out_refinance,northeast,0.0
case_0010,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,cash_out_refinance,west,0.0
case_0010,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,cash_out_refinance,west,0.0
case_0010,Document Collection,2025-01-03 13:21:25.558347-05:00,Priya Nair,complete,repeat_buyer,online,500k_750k,cash_out_refinance,west,130.13
case_0010,Initial Review,2025-01-06 09:00:00-05:00,Sofia Romano,complete,repeat_buyer,online,500k_750k,cash_out_refinance,west,151.66
case_0010,Underwriting,2025-01-09 09:00:00-05:00,Hiroshi Tanaka,complete,repeat_buyer,online,500k_750k,cash_out_refinance,west,113.32
case_0010,Declined,2025-01-17 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,cash_out_refinance,west,0.0
case_0011,Application Submitted,2025-01-02 09:00:00-05:00,,complete,investor,online,under_250k,purchase,northeast,0.0
case_0011,Credit Check,2025-01-03 09:00:00-05:00,,complete,investor,online,under_250k,purchase,northeast,0.0
case_0011,Document Collection,2025-01-03 15:37:32.353163-05:00,Marcus Bell,complete,investor,online,under_250k,purchase,northeast,118.14
case_0011,Initial Review,2025-01-06 09:00:00-05:00,Sofia Romano,complete,investor,online,under_250k,purchase,northeast,182.8
case_0011,Underwriting,2025-01-09 09:00:00-05:00,Daniel Osei,complete,investor,online,under_250k,purchase,northeast,101.62
case_0011,Request Additional Documents,2025-01-13 09:00:00-05:00,,complete,investor,online,under_250k,purchase,northeast,0.0
case_0011,Documents Received,2025-01-16 09:00:00-05:00,,complete,investor,online,under_250k,purchase,northeast,0.0
case_0011,Underwriting,2025-01-24 09:00:00-05:00,Rachel Greene,complete,investor,online,under_250k,purchase,northeast,89.26
case_0011,Declined,2025-01-28 09:00:00-05:00,,complete,investor,online,under_250k,purchase,northeast,0.0
case_0012,Application Submitted,2025-01-02 09:00:00-05:00,,complete,investor,broker,250k_500k,purchase,west,0.0
case_0012,Credit Check,2025-01-03 09:00:00-05:00,,complete,investor,broker,250k_500k,purchase,west,0.0
case_0012,Document Collection,2025-01-03 16:22:47.397335-05:00,Marcus Bell,complete,investor,broker,250k_500k,purchase,west,94.07
case_0012,Initial Review,2025-01-06 09:00:00-05:00,Priya Nair,complete,investor,broker,250k_500k,purchase,west,129.86
case_0012,Underwriting,2025-01-07 09:00:00-05:00,Rachel Greene,complete,investor,broker,250k_500k,purchase,west,147.81
case_0012,Property Appraisal,2025-01-15 09:00:00-05:00,Tom Fletcher,complete,investor,broker,250k_500k,purchase,west,59.36
case_0012,Conditional Approval,2025-01-17 10:59:34.879867-05:00,,complete,investor,broker,250k_500k,purchase,west,0.0
case_0012,Clear to Close,2025-01-17 12:30:10.151242-05:00,Hiroshi Tanaka,complete,investor,broker,250k_500k,purchase,west,141.13
case_0012,Loan Funded,2025-01-21 09:00:00-05:00,,complete,investor,broker,250k_500k,purchase,west,0.0
case_0013,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,purchase,west,0.0
case_0013,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,purchase,west,0.0
case_0013,Document Collection,2025-01-03 10:33:08.648052-05:00,Sofia Romano,complete,repeat_buyer,broker,under_250k,purchase,west,178.03
case_0013,Initial Review,2025-01-06 09:00:00-05:00,Sofia Romano,complete,repeat_buyer,broker,under_250k,purchase,west,39.17
case_0013,Underwriting,2025-01-09 15:06:16.485358-05:00,Rachel Greene,complete,repeat_buyer,broker,under_250k,purchase,west,64.73
case_0013,Request Additional Documents,2025-01-21 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,purchase,west,0.0
case_0013,Documents Received,2025-01-27 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,purchase,west,0.0
case_0013,Underwriting,2025-02-03 09:00:00-05:00,Hiroshi Tanaka,complete,repeat_buyer,broker,under_250k,purchase,west,124.82
case_0013,Property Appraisal,2025-02-10 09:00:00-05:00,Tom Fletcher,complete,repeat_buyer,broker,under_250k,purchase,west,71.69
case_0013,Conditional Approval,2025-02-12 11:45:20.612693-05:00,,complete,repeat_buyer,broker,under_250k,purchase,west,0.0
case_0013,Clear to Close,2025-02-12 13:43:27.639043-05:00,Hiroshi Tanaka,complete,repeat_buyer,broker,under_250k,purchase,west,116.06
case_0013,Loan Funded,2025-02-14 09:00:00-05:00,,complete,repeat_buyer,broker,under_250k,purchase,west,0.0
case_0014,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,branch,250k_500k,refinance,midwest,0.0
case_0014,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,branch,250k_500k,refinance,midwest,0.0
case_0014,Document Collection,2025-01-03 10:03:53.484910-05:00,Sofia Romano,complete,repeat_buyer,branch,250k_500k,refinance,midwest,105.97
case_0014,Initial Review,2025-01-08 09:00:00-05:00,Sofia Romano,complete,repeat_buyer,branch,250k_500k,refinance,midwest,67.88
case_0014,Underwriting,2025-01-10 09:00:00-05:00,Daniel Osei,complete,repeat_buyer,branch,250k_500k,refinance,midwest,104.45
case_0014,Property Appraisal,2025-01-13 10:35:49.999957-05:00,Tom Fletcher,complete,repeat_buyer,branch,250k_500k,refinance,midwest,99.53
case_0014,Conditional Approval,2025-01-17 09:00:00-05:00,,complete,repeat_buyer,branch,250k_500k,refinance,midwest,0.0
case_0014,Clear to Close,2025-01-17 13:57:02.677972-05:00,Hiroshi Tanaka,complete,repeat_buyer,branch,250k_500k,refinance,midwest,124.25
case_0014,Loan Funded,2025-01-21 09:00:00-05:00,,complete,repeat_buyer,branch,250k_500k,refinance,midwest,0.0
case_0015,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,online,500k_750k,purchase,northeast,0.0
case_0015,Credit Check,2025-01-03 09:00:00-05:00,,complete,first_time_buyer,online,500k_750k,purchase,northeast,0.0
case_0015,Declined,2025-01-03 10:54:03.486817-05:00,,complete,first_time_buyer,online,500k_750k,purchase,northeast,0.0
case_0016,Application Submitted,2025-01-02 09:00:00-05:00,,complete,investor,online,250k_500k,refinance,northeast,0.0
case_0016,Credit Check,2025-01-03 09:00:00-05:00,,complete,investor,online,250k_500k,refinance,northeast,0.0
case_0016,Declined,2025-01-03 12:11:34.683022-05:00,,complete,investor,online,250k_500k,refinance,northeast,0.0
case_0017,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,northeast,0.0
case_0017,Credit Check,2025-01-03 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,northeast,0.0
case_0017,Document Collection,2025-01-03 16:40:47.000758-05:00,Priya Nair,complete,first_time_buyer,broker,250k_500k,purchase,northeast,163.64
case_0017,Initial Review,2025-01-06 09:00:00-05:00,Sofia Romano,complete,first_time_buyer,broker,250k_500k,purchase,northeast,26.2
case_0017,Underwriting,2025-01-09 16:14:36.169390-05:00,Daniel Osei,complete,first_time_buyer,broker,250k_500k,purchase,northeast,99.52
case_0017,Request Additional Documents,2025-01-13 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,northeast,0.0
case_0017,Documents Received,2025-01-21 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,northeast,0.0
case_0017,Underwriting,2025-02-04 09:00:00-05:00,Rachel Greene,complete,first_time_buyer,broker,250k_500k,purchase,northeast,67.67
case_0017,Property Appraisal,2025-02-10 10:36:39.242918-05:00,Aisha Khan,complete,first_time_buyer,broker,250k_500k,purchase,northeast,163.55
case_0017,Conditional Approval,2025-02-12 12:44:12.328340-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,northeast,0.0
case_0017,Clear to Close,2025-02-13 09:00:00-05:00,Rachel Greene,complete,first_time_buyer,broker,250k_500k,purchase,northeast,59.73
case_0017,Loan Funded,2025-02-18 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,northeast,0.0
case_0018,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,online,250k_500k,refinance,west,0.0
case_0018,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,online,250k_500k,refinance,west,0.0
case_0018,Document Collection,2025-01-03 10:57:11.850763-05:00,Priya Nair,complete,repeat_buyer,online,250k_500k,refinance,west,66.43
case_0018,Initial Review,2025-01-06 09:00:00-05:00,Priya Nair,complete,repeat_buyer,online,250k_500k,refinance,west,132.08
case_0018,Underwriting,2025-01-07 13:09:35.412505-05:00,Lena Kowalski,complete,repeat_buyer,online,250k_500k,refinance,west,110.29
case_0018,Property Appraisal,2025-01-10 09:00:00-05:00,Diego Morales,complete,repeat_buyer,online,250k_500k,refinance,west,89.33
case_0018,Conditional Approval,2025-01-14 09:00:00-05:00,,complete,repeat_buyer,online,250k_500k,refinance,west,0.0
case_0018,Clear to Close,2025-01-14 14:31:16.753073-05:00,Lena Kowalski,complete,repeat_buyer,online,250k_500k,refinance,west,143.61
case_0018,Loan Funded,2025-01-17 09:00:00-05:00,,complete,repeat_buyer,online,250k_500k,refinance,west,0.0
case_0019,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,purchase,northeast,0.0
case_0019,Credit Check,2025-01-02 16:57:36.581017-05:00,,complete,repeat_buyer,online,500k_750k,purchase,northeast,0.0
case_0019,Document Collection,2025-01-03 09:00:00-05:00,Priya Nair,complete,repeat_buyer,online,500k_750k,purchase,northeast,135.63
case_0019,Initial Review,2025-01-06 09:00:00-05:00,Priya Nair,complete,repeat_buyer,online,500k_750k,purchase,northeast,56.08
case_0019,Underwriting,2025-01-09 09:00:00-05:00,Daniel Osei,complete,repeat_buyer,online,500k_750k,purchase,northeast,126.37
case_0019,Property Appraisal,2025-01-13 09:00:00-05:00,Tom Fletcher,complete,repeat_buyer,online,500k_750k,purchase,northeast,88.7
case_0019,Conditional Approval,2025-01-21 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,purchase,northeast,0.0
case_0019,Clear to Close,2025-01-21 10:53:02.243223-05:00,Rachel Greene,complete,repeat_buyer,online,500k_750k,purchase,northeast,113.18
case_0019,Loan Funded,2025-01-27 09:00:00-05:00,,complete,repeat_buyer,online,500k_750k,purchase,northeast,0.0
case_0020,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,online,over_750k,purchase,midwest,0.0
case_0020,Credit Check,2025-01-03 09:00:00-05:00,,complete,first_time_buyer,online,over_750k,purchase,midwest,0.0
case_0020,Declined,2025-01-03 16:55:26.049995-05:00,,complete,first_time_buyer,online,over_750k,purchase,midwest,0.0
case_0021,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,online,over_750k,purchase,northeast,0.0
case_0021,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,online,over_750k,purchase,northeast,0.0
case_0021,Document Collection,2025-01-03 12:28:57.210628-05:00,Marcus Bell,complete,repeat_buyer,online,over_750k,purchase,northeast,45.74
case_0021,Initial Review,2025-01-07 11:45:53.313341-05:00,Sofia Romano,complete,repeat_buyer,online,over_750k,purchase,northeast,147.94
case_0021,Underwriting,2025-01-10 12:48:48.844797-05:00,Rachel Greene,complete,repeat_buyer,online,over_750k,purchase,northeast,107.52
case_0021,Property Appraisal,2025-01-14 09:00:00-05:00,Aisha Khan,complete,repeat_buyer,online,over_750k,purchase,northeast,100.22
case_0021,Conditional Approval,2025-01-21 09:00:00-05:00,,complete,repeat_buyer,online,over_750k,purchase,northeast,0.0
case_0021,Clear to Close,2025-01-21 14:56:55.286913-05:00,Rachel Greene,complete,repeat_buyer,online,over_750k,purchase,northeast,85.2
case_0021,Loan Funded,2025-01-27 09:00:00-05:00,,complete,repeat_buyer,online,over_750k,purchase,northeast,0.0
case_0022,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,0.0
case_0022,Credit Check,2025-01-02 12:34:15.659079-05:00,,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,0.0
case_0022,Document Collection,2025-01-02 16:57:17.086859-05:00,Marcus Bell,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,36.15
case_0022,Initial Review,2025-01-06 09:00:00-05:00,Sofia Romano,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,164.1
case_0022,Underwriting,2025-01-08 12:24:18.394871-05:00,Rachel Greene,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,103.39
case_0022,Property Appraisal,2025-01-13 11:23:11.722243-05:00,Diego Morales,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,146.91
case_0022,Conditional Approval,2025-01-21 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,0.0
case_0022,Clear to Close,2025-01-21 11:53:11.677854-05:00,Lena Kowalski,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,75.11
case_0022,Loan Funded,2025-01-23 09:08:43.242599-05:00,,complete,repeat_buyer,broker,250k_500k,cash_out_refinance,midwest,0.0
case_0023,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,purchase,south,0.0
case_0023,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,purchase,south,0.0
case_0023,Document Collection,2025-01-06 09:00:00-05:00,Sofia Romano,complete,repeat_buyer,broker,250k_500k,purchase,south,97.07
case_0023,Initial Review,2025-01-10 09:00:00-05:00,Marcus Bell,complete,repeat_buyer,broker,250k_500k,purchase,south,213.63
case_0023,Underwriting,2025-01-13 09:00:00-05:00,Rachel Greene,complete,repeat_buyer,broker,250k_500k,purchase,south,178.41
case_0023,Property Appraisal,2025-01-21 09:00:00-05:00,Aisha Khan,complete,repeat_buyer,broker,250k_500k,purchase,south,115.63
case_0023,Conditional Approval,2025-01-28 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,purchase,south,0.0
case_0023,Clear to Close,2025-01-28 11:25:29.667606-05:00,Lena Kowalski,complete,repeat_buyer,broker,250k_500k,purchase,south,62.7
case_0023,Loan Funded,2025-01-29 10:08:40.697794-05:00,,complete,repeat_buyer,broker,250k_500k,purchase,south,0.0
case_0024,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,midwest,0.0
case_0024,Credit Check,2025-01-03 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,midwest,0.0
case_0024,Document Collection,2025-01-03 11:17:31.659504-05:00,Marcus Bell,complete,first_time_buyer,broker,250k_500k,purchase,midwest,143.47
case_0024,Initial Review,2025-01-06 14:53:15.241601-05:00,Sofia Romano,complete,first_time_buyer,broker,250k_500k,purchase,midwest,149.67
case_0024,Underwriting,2025-01-09 09:00:00-05:00,Rachel Greene,complete,first_time_buyer,broker,250k_500k,purchase,midwest,116.3
case_0024,Property Appraisal,2025-01-21 09:00:00-05:00,Diego Morales,complete,first_time_buyer,broker,250k_500k,purchase,midwest,39.69
case_0024,Conditional Approval,2025-01-27 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,midwest,0.0
case_0024,Clear to Close,2025-01-27 12:05:23.607414-05:00,Lena Kowalski,complete,first_time_buyer,broker,250k_500k,purchase,midwest,167.54
case_0024,Loan Funded,2025-01-29 09:00:00-05:00,,complete,first_time_buyer,broker,250k_500k,purchase,midwest,0.0
case_0025,Application Submitted,2025-01-02 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,purchase,west,0.0
case_0025,Credit Check,2025-01-03 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,purchase,west,0.0
case_0025,Document Collection,2025-01-03 12:34:09.072864-05:00,Priya Nair,complete,repeat_buyer,broker,250k_500k,purchase,west,117.92
case_0025,Initial Review,2025-01-06 09:00:00-05:00,Sofia Romano,complete,repeat_buyer,broker,250k_500k,purchase,west,57.51
case_0025,Underwriting,2025-01-10 09:00:00-05:00,Rachel Greene,complete,repeat_buyer,broker,250k_500k,purchase,west,51.87
case_0025,Property Appraisal,2025-01-21 09:00:00-05:00,Aisha Khan,complete,repeat_buyer,broker,250k_500k,purchase,west,76.65
case_0025,Conditional Approval,2025-01-28 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,purchase,west,0.0
case_0025,Clear to Close,2025-01-28 11:04:49.902713-05:00,Lena Kowalski,complete,repeat_buyer,broker,250k_500k,purchase,west,87.55
case_0025,Loan Funded,2025-01-31 09:00:00-05:00,,complete,repeat_buyer,broker,250k_500k,purchase,west,0.0
case_0026,Application Submitted,2025-01-02 09:00:00-05:00,,complete,first_time_buyer,online,500k_750k,refinance,midwest,0.0
case_0026,Credit Check,2025-01-02 11:47:23.208707-05:00,,complete,first_time_buyer,online,500k_750k,refinance,midwest,0.0
